""	"age"	"log.income"
"1"	21	11.1563
"2"	22	12.8131
"3"	22	13.096
"4"	22	11.6952
"5"	22	11.5327
"6"	22	12.7657
"7"	22	12.5879
"8"	22	11.9829
"9"	22	13.4588
"10"	23	12.2061
"11"	23	12.0436
"12"	23	11.925
"13"	23	13.7001
"14"	23	12.7939
"15"	23	13.3471
"16"	23	13.0562
"17"	23	12.0668
"18"	23	13.2879
"19"	24	13.6808
"20"	24	12.8992
"21"	24	12.2061
"22"	24	13.5008
"23"	24	13.5924
"24"	24	13.6774
"25"	24	13.4298
"26"	24	13.1993
"27"	24	13.0368
"28"	24	11.8277
"29"	24	13.3535
"30"	24	12.5981
"31"	25	13.4786
"32"	25	13.2534
"33"	25	13.4284
"34"	25	13.7102
"35"	25	13.6635
"36"	25	13.5924
"37"	25	13.0815
"38"	25	13.0836
"39"	25	13.3519
"40"	25	13.2249
"41"	26	13.4313
"42"	26	13.3342
"43"	26	13.1993
"44"	26	13.3847
"45"	26	13.3047
"46"	26	14.0233
"47"	26	13.48
"48"	27	13.8353
"49"	27	13.9457
"50"	27	13.3661
"51"	27	13.5278
"52"	27	13.3047
"53"	27	13.7102
"54"	27	13.7102
"55"	28	13.5411
"56"	28	13.7212
"57"	28	13.5658
"58"	28	13.3359
"59"	29	13.8869
"60"	29	13.981
"61"	30	13.5158
"62"	30	13.6292
"63"	30	13.3047
"64"	30	13.415
"65"	30	13.6797
"66"	31	13.8643
"67"	31	13.4588
"68"	31	13.5899
"69"	31	13.7113
"70"	31	13.4588
"71"	32	13.5411
"72"	32	13.3047
"73"	32	13.9978
"74"	32	13.4603
"75"	32	13.8925
"76"	32	13.8165
"77"	32	13.8738
"78"	33	13.8451
"79"	33	13.5924
"80"	33	13.4488
"81"	33	13.9622
"82"	33	13.6956
"83"	34	13.017
"84"	34	13.9377
"85"	34	14.0103
"86"	34	13.3047
"87"	35	14.1527
"88"	35	13.8155
"89"	35	13.9553
"90"	35	13.9978
"91"	35	13.7788
"92"	35	13.8304
"93"	36	13.7642
"94"	36	13.415
"95"	36	13.981
"96"	36	13.9987
"97"	37	13.6831
"98"	37	13.0836
"99"	37	14.1871
"100"	38	14.152
"101"	38	13.5949
"102"	38	13.4588
"103"	38	13.8633
"104"	38	14.1193
"105"	38	14.033
"106"	38	13.2067
"107"	38	13.6624
"108"	39	13.8509
"109"	39	13.4617
"110"	39	14.0012
"111"	39	13.5411
"112"	40	14.152
"113"	40	13.6292
"114"	40	13.7102
"115"	40	14.221
"116"	40	13.3407
"117"	40	13.8155
"118"	40	13.1863
"119"	41	13.8822
"120"	41	13.8155
"121"	41	14.2698
"122"	41	12.3194
"123"	41	13.9987
"124"	41	12.3884
"125"	42	13.7451
"126"	42	14.152
"127"	42	13.9044
"128"	42	13.7589
"129"	42	13.7504
"130"	43	13.5076
"131"	43	13.7201
"132"	44	13.4588
"133"	44	14.6622
"134"	44	12.5062
"135"	44	12.9408
"136"	45	13.9518
"137"	45	13.6268
"138"	45	13.8075
"139"	45	13.3816
"140"	46	13.8165
"141"	46	13.9108
"142"	47	13.8155
"143"	47	13.7621
"144"	47	13.7321
"145"	47	13.8155
"146"	47	13.466
"147"	47	11.4076
"148"	47	13.9978
"149"	48	14.0585
"150"	48	12.8992
"151"	48	14.0306
"152"	48	13.3064
"153"	48	13.2534
"154"	49	13.9987
"155"	49	13.9404
"156"	50	13.9421
"157"	50	13.4588
"158"	50	13.7012
"159"	50	14.1052
"160"	50	14.634
"161"	50	13.48
"162"	50	14.4991
"163"	51	13.606
"164"	52	13.9492
"165"	52	13.7736
"166"	52	13.8314
"167"	52	14.0779
"168"	52	14.215
"169"	52	13.6412
"170"	52	11.8056
"171"	53	14.2544
"172"	53	15.0582
"173"	53	13.2067
"174"	53	13.653
"175"	54	13.0562
"176"	54	13.8614
"177"	54	14.2615
"178"	54	14.7318
"179"	55	13.4603
"180"	55	13.6219
"181"	55	13.2879
"182"	55	13.5144
"183"	55	14.4226
"184"	56	13.6542
"185"	56	13.7963
"186"	57	12.2737
"187"	58	14.3538
"188"	58	13.3692
"189"	58	13.3359
"190"	58	13.3229
"191"	59	12.8992
"192"	59	13.9631
"193"	59	13.8095
"194"	60	14.5087
"195"	60	11.5991
"196"	60	13.4716
"197"	60	13.5278
"198"	61	12.5879
"199"	62	13.3391
"200"	62	12.6947
"201"	63	13.9682
"202"	63	12.0782
"203"	63	14.0916
"204"	64	13.7102
"205"	65	12.2549
